time,elevator_0_floor,elevator_0_direction,elevator_0_passengers,elevator_1_floor,elevator_1_direction,elevator_1_passengers
0,0,IDLE,0,0,IDLE,0
1,1,UP,7,0,IDLE,0
2,2,UP,7,0,IDLE,0
3,3,UP,7,0,IDLE,0
4,4,UP,7,0,IDLE,0
5,5,UP,7,0,IDLE,0
6,6,UP,7,0,IDLE,0
7,7,UP,7,0,IDLE,0
8,8,UP,7,0,IDLE,0
9,9,UP,7,0,IDLE,0
10,10,UP,7,0,IDLE,0
11,11,UP,1,0,IDLE,0
12,12,UP,1,0,IDLE,0
13,13,UP,1,0,IDLE,0
14,14,UP,1,0,IDLE,0
15,15,UP,1,0,IDLE,0
16,16,UP,1,0,IDLE,0
17,17,UP,1,0,IDLE,0
18,18,UP,1,0,IDLE,0
19,19,UP,1,0,IDLE,0
20,20,UP,1,0,IDLE,0
21,21,UP,1,0,IDLE,0
22,22,UP,1,0,IDLE,0
23,23,UP,1,0,IDLE,0
24,24,UP,1,0,IDLE,0
25,25,UP,1,0,IDLE,0
